WRN 2026-04-26T21:09:47.574 ui.4025042 tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-26T21:09:47.575 ui.4025042 tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-26T21:09:47.575 ui.4025042 tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-26T21:09:47.575 ui.4025042 tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-04-26T21:09:47.575 ui.4025042 tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-04-26T21:12:10.262 ui.4042200 tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-26T21:12:10.263 ui.4042200 tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-26T21:12:10.263 ui.4042200 tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-26T21:12:10.264 ui.4042200 tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-04-26T21:12:10.265 ui.4042200 tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-04-26T21:12:31.511 ui.4049369 tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-26T21:12:31.513 ui.4049369 tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-26T21:12:31.515 ui.4049369 tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-26T21:12:31.517 ui.4049369 tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-04-26T21:12:31.521 ui.4049369 tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-04-26T21:13:03.554 ui.4059553 tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-26T21:13:03.554 ui.4059553 tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-26T21:13:03.554 ui.4059553 tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-26T21:13:03.555 ui.4059553 tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-04-26T21:13:03.556 ui.4059553 tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
